Query,GIF ID,Relevance
Feeling loved,103wxMOQYiCOjK,Not Relevant
Feeling loved,107nbr93ZhiUJq	,Not Relevant
Feeling loved,107w1QelN7fTcA,Not Relevant
Feeling loved,108M7gCS1JSoO4,Highly Relevant
Feeling loved,108OKB1XHmqUI8,Not Relevant
Feeling lonely,100PvT5qaOSre0,Moderately Relevant
Feeling lonely,101auwpSHzVZkI,Not Relevant
Feeling lonely,10237jxmIQQhaM,Moderately Relevant
Feeling lonely,102cJamHjyLgA0,Moderately Relevant
Feeling lonely,102nX8tlIYDkAM,Highly Relevant
Feeling lonely,103HJZ0KmjvW0w,Moderately Relevant
Feeling lonely,1044XT2g7r37lm,Not Relevant
Feeling lonely,104v6Qd66phU3u,Moderately Relevant
Feeling lonely,1054NET6HHQX9S,Not Relevant
Feeling lonely,106cqwD4WrDjJm,Not Relevant
Feeling nervous,1000eGIbYHercI,Not Relevant
Feeling nervous,1000fHsBSKSL6w,Not Relevant
Feeling nervous,	1000WjcUQeqOaY,Moderately Relevant
Feeling nervous,	1004D5v8Dbe6cw,Not Relevant
Feeling nervous,1004Eqp3k9U6KQ,Not Relevant
Feeling nervous,1007d28L3ZIjRe,Not Relevant
Feeling nervous,100ak1Sn7F3ius,Not Relevant
Feeling nervous,100d6UtqKnuNuU,Not Relevant
Feeling nervous,100hiniRFKa3OE,Not Relevant
Feeling nervous,100J4cu5UbCnVm,Not Relevant
Calm and peaceful scene,1003Kuq13ICXDO,Not Relevant
Calm and peaceful scene,100afL9qoUSWSQ,Not Relevant
Calm and peaceful scene,100buaImlNtEuk,Not Relevant
Calm and peaceful scene,103c3dyvMqv624,Moderately Relevant
Calm and peaceful scene,103JnbaqvpBFGE,Not Relevant
Calm and peaceful scene,103wxMOQYiCOjK,Highly Relevant
Calm and peaceful scene,107nbr93ZhiUJq,Moderately Relevant
Calm and peaceful scene,107w1QelN7fTcA,Not Relevant
Calm and peaceful scene,108M7gCS1JSoO4,Moderately Relevant
Calm and peaceful scene,108OKB1XHmqUI8,Not Relevant
Shocked expression,100PvT5qaOSre0,Not Relevant
Shocked expression,101auwpSHzVZkI,Moderately Relevant
Shocked expression,10237jxmIQQhaM,Moderately Relevant
Shocked expression,102cJamHjyLgA0,Moderately Relevant
Shocked expression,102nX8tlIYDkAM,Not Relevant
Shocked expression,103HJZ0KmjvW0w,Highly Relevant
Shocked expression,1044XT2g7r37lm,Highly Relevant
Shocked expression,104v6Qd66phU3u,Not Relevant
Shocked expression,1054NET6HHQX9S,Not Relevant
Shocked expression,106cqwD4WrDjJm,Not Relevant
Laughing out loud,1003Kuq13ICXDO,Not Relevant
Laughing out loud,100afL9qoUSWSQ	,Moderately Relevant
Laughing out loud,100buaImlNtEuk,Not Relevant
Laughing out loud,103c3dyvMqv624,Not Relevant
Laughing out loud,103JnbaqvpBFGE,Not Relevant
Laughing out loud,103wxMOQYiCOjK,Not Relevant
Laughing out loud,107nbr93ZhiUJq,Not Relevant
Laughing out loud,107w1QelN7fTcA,Moderately Relevant
Laughing out loud,108M7gCS1JSoO4,Not Relevant
Laughing out loud,108OKB1XHmqUI8,Not Relevant
Best Friends,1003Kuq13ICXDO,Not Relevant
Best Friends,100afL9qoUSWSQ,Not Relevant
Best Friends,100buaImlNtEuk,Not Relevant
Best Friends,103c3dyvMqv624,Not Relevant
Best Friends,103JnbaqvpBFGE,Not Relevant
Best Friends,103wxMOQYiCOjK,Not Relevant
Best Friends,107nbr93ZhiUJq	,Not Relevant
Best Friends,107w1QelN7fTcA,Not Relevant
Best Friends,108M7gCS1JSoO4,Not Relevant
Best Friends,108OKB1XHmqUI8,Not Relevant
Embarrassing moment,1000eGIbYHercI,Moderately Relevant
Embarrassing moment,1000fHsBSKSL6w,Not Relevant
Embarrassing moment,1000WjcUQeqOaY,Not Relevant
Embarrassing moment,1004D5v8Dbe6cw,Not Relevant
Embarrassing moment,1004Eqp3k9U6KQ,Not Relevant
Embarrassing moment,1007d28L3ZIjRe,Moderately Relevant
Embarrassing moment,100ak1Sn7F3ius,Not Relevant
Embarrassing moment,100d6UtqKnuNuU,Not Relevant
Embarrassing moment,100hiniRFKa3OE,Not Relevant
Embarrassing moment,100J4cu5UbCnVm,Not Relevant
Awkward,100PvT5qaOSre0,Highly Relevant
Awkward,101auwpSHzVZkI,Moderately Relevant
Awkward,10237jxmIQQhaM,Not Relevant
Awkward,102cJamHjyLgA0,Moderately Relevant
Awkward,102nX8tlIYDkAM,Moderately Relevant
Awkward,103HJZ0KmjvW0w,Not Relevant
Awkward,1044XT2g7r37lm,Not Relevant
Awkward,104v6Qd66phU3u,Not Relevant
Awkward,1054NET6HHQX9S,Not Relevant
Awkward,106cqwD4WrDjJm,Highly Relevant
Frustrated and annoyed,100PvT5qaOSre0,Highly Relevant
Frustrated and annoyed,101auwpSHzVZkI,Moderately Relevant
Frustrated and annoyed,101auwpSHzVZkI,Moderately Relevant
Frustrated and annoyed,102cJamHjyLgA0,Highly Relevant
Frustrated and annoyed,102nX8tlIYDkAM,Moderately Relevant
Frustrated and annoyed,103HJZ0KmjvW0w,Not Relevant
Frustrated and annoyed,1044XT2g7r37lm,Highly Relevant
Frustrated and annoyed,104v6Qd66phU3u,Moderately Relevant
Frustrated and annoyed,1054NET6HHQX9S,Highly Relevant
Frustrated and annoyed,1054NET6HHQX9S,Not Relevant
Nostalgia,1000eGIbYHercI,Not Relevant
Nostalgia,1000fHsBSKSL6w,Not Relevant
Nostalgia,1000WjcUQeqOaY,Moderately Relevant
Nostalgia,1004D5v8Dbe6cw,Not Relevant
Nostalgia,1004Eqp3k9U6KQ,Not Relevant
Nostalgia,1007d28L3ZIjRe,Not Relevant
Nostalgia,100ak1Sn7F3ius,Moderately Relevant
Nostalgia,100d6UtqKnuNuU,Not Relevant
Nostalgia,100hiniRFKa3OE,Not Relevant
Nostalgia,100J4cu5UbCnVm,Not Relevant
Showing confidence,1000eGIbYHercI,Not Relevant
Showing confidence,1000fHsBSKSL6w,Moderately Relevant
Showing confidence,1000WjcUQeqOaY,Highly Relevant
Showing confidence,1004D5v8Dbe6cw,Highly Relevant
Showing confidence,1004Eqp3k9U6KQ,Moderately Relevant
Showing confidence,1007d28L3ZIjRe,Not Relevant
Showing confidence,100ak1Sn7F3ius,Moderately Relevant
Showing confidence,100d6UtqKnuNuU,Not Relevant
Showing confidence,100hiniRFKa3OE,Not Relevant
Showing confidence,100J4cu5UbCnVm,Not Relevant
Pure awe and wonder,1003Kuq13ICXDO,Not Relevant
Pure awe and wonder,100afL9qoUSWSQ,Not Relevant
Pure awe and wonder,100buaImlNtEuk,Not Relevant
Pure awe and wonder,103c3dyvMqv624,Moderately Relevant
Pure awe and wonder,103JnbaqvpBFGE,Not Relevant
Pure awe and wonder,103wxMOQYiCOjK,Highly Relevant
Pure awe and wonder,107nbr93ZhiUJq,Not Relevant
Pure awe and wonder,107w1QelN7fTcA,Not Relevant
Pure awe and wonder,108M7gCS1JSoO4,Not Relevant
Pure awe and wonder,108OKB1XHmqUI8,Not Relevant
Feeling tired or sleepy,108NM6sx2vs0Ja,Moderately Relevant
Feeling tired or sleepy,10bXMJv7ll6vbq,Not Relevant
Feeling tired or sleepy,10GSjO2zW3bzl6,Highly Relevant
Feeling tired or sleepy,10PWVoMh0HLvW,Moderately Relevant
Feeling tired or sleepy,11cz7gzk2SedaM,Highly Relevant
Feeling tired or sleepy,129dh81DDTwDn2,Highly Relevant
Feeling tired or sleepy,12PopeIsT47OFy,Highly Relevant
Feeling tired or sleepy,12X4BYMfgeU30k,Highly Relevant
Feeling tired or sleepy,29psbxDByiFlm,Highly Relevant
Feeling tired or sleepy,2dnTHovkLt6Yo,Highly Relevant
Mourning a loss,1000eGIbYHercI,Not Relevant
Mourning a loss,1000fHsBSKSL6w,Not Relevant
Mourning a loss,1000WjcUQeqOaY,Moderately Relevant
Mourning a loss,1004D5v8Dbe6cw,Not Relevant
Mourning a loss,1004Eqp3k9U6KQ,Not Relevant
Mourning a loss,1007d28L3ZIjRe,Moderately Relevant
Mourning a loss,100ak1Sn7F3ius,Not Relevant
Mourning a loss,100d6UtqKnuNuU,Not Relevant
Mourning a loss,100hiniRFKa3OE,Moderately Relevant
Mourning a loss,100J4cu5UbCnVm,Highly Relevant
A sincere apology,1003Kuq13ICXDO,Not Relevant
A sincere apology,100afL9qoUSWSQ,Not Relevant
A sincere apology,100buaImlNtEuk,Not Relevant
A sincere apology,103c3dyvMqv624,Not Relevant
A sincere apology,103JnbaqvpBFGE,Not Relevant
A sincere apology,103wxMOQYiCOjK,Not Relevant
A sincere apology,107nbr93ZhiUJq	,Not Relevant
A sincere apology,107w1QelN7fTcA,Not Relevant
A sincere apology,108M7gCS1JSoO4,Moderately Relevant
A sincere apology,108OKB1XHmqUI8,Not Relevant
A speech,1000eGIbYHercI,Not Relevant
A speech,1000fHsBSKSL6w,Not Relevant
A speech,1000WjcUQeqOaY,Not Relevant
A speech,1004D5v8Dbe6cw,Not Relevant
A speech,1004Eqp3k9U6KQ,Not Relevant
A speech,1007d28L3ZIjRe,Not Relevant
A speech,100ak1Sn7F3ius,Not Relevant
A speech,100d6UtqKnuNuU,Not Relevant
A speech,100hiniRFKa3OE,Not Relevant
A speech,100J4cu5UbCnVm,Not Relevant
Romance,1000eGIbYHercI,Not Relevant
Romance,1000fHsBSKSL6w,Moderately Relevant
Romance,1000WjcUQeqOaY,Not Relevant
Romance,1004D5v8Dbe6cw,Not Relevant
Romance,1004Eqp3k9U6KQ,Not Relevant
Romance,1007d28L3ZIjRe,Not Relevant
Romance,100ak1Sn7F3ius,Not Relevant
Romance,100d6UtqKnuNuU,Not Relevant
Romance,100hiniRFKa3OE,Not Relevant
Romance,100J4cu5UbCnVm,Not Relevant
A comedic punchline,1000eGIbYHercI,Not Relevant
A comedic punchline,1000fHsBSKSL6w,Not Relevant
A comedic punchline,1000WjcUQeqOaY,Not Relevant
A comedic punchline,1004D5v8Dbe6cw,Not Relevant
A comedic punchline,1004Eqp3k9U6KQ,Moderately Relevant
A comedic punchline,1007d28L3ZIjRe,Not Relevant
A comedic punchline,100ak1Sn7F3ius,Not Relevant
A comedic punchline,100d6UtqKnuNuU,Not Relevant
A comedic punchline,100hiniRFKa3OE,Not Relevant
A comedic punchline,100J4cu5UbCnVm,Not Relevant
A heartfelt goodbye,1000eGIbYHercI,Not Relevant
A heartfelt goodbye,1000fHsBSKSL6w,Not Relevant
A heartfelt goodbye,1000WjcUQeqOaY,Moderately Relevant
A heartfelt goodbye,1004D5v8Dbe6cw,Not Relevant
A heartfelt goodbye,1004Eqp3k9U6KQ,Not Relevant
A heartfelt goodbye,1007d28L3ZIjRe,Not Relevant
A heartfelt goodbye,100ak1Sn7F3ius,Not Relevant
A heartfelt goodbye,100d6UtqKnuNuU,Not Relevant
A heartfelt goodbye,100hiniRFKa3OE,Moderately Relevant
A heartfelt goodbye,100J4cu5UbCnVm,Highly Relevant
A serious argument,100PvT5qaOSre0,Not Relevant
A serious argument,101auwpSHzVZkI,Not Relevant
A serious argument,10237jxmIQQhaM,Not Relevant
A serious argument,102cJamHjyLgA0,Moderately Relevant
A serious argument,102nX8tlIYDkAM,Not Relevant
A serious argument,103HJZ0KmjvW0w,Not Relevant
A serious argument,1044XT2g7r37lm,Moderately Relevant
A serious argument,104v6Qd66phU3u,Not Relevant
A serious argument,1054NET6HHQX9S,Moderately Relevant
A serious argument,106cqwD4WrDjJm,Not Relevant
A sarcastic remark,1003Kuq13ICXDO,Highly Relevant
A sarcastic remark,100afL9qoUSWSQ,Not Relevant
A sarcastic remark,100buaImlNtEuk,Not Relevant
A sarcastic remark,103c3dyvMqv624,Not Relevant
A sarcastic remark,103JnbaqvpBFGE,Not Relevant
A sarcastic remark,103wxMOQYiCOjK,Not Relevant
A sarcastic remark,107nbr93ZhiUJq	,Not Relevant
A sarcastic remark,107w1QelN7fTcA,Moderately Relevant
A sarcastic remark,108M7gCS1JSoO4,Not Relevant
A sarcastic remark,108OKB1XHmqUI8,Not Relevant
Relaxed mode,1000eGIbYHercI,Not Relevant
Relaxed mode,1000fHsBSKSL6w,Not Relevant
Relaxed mode,1000WjcUQeqOaY,Not Relevant
Relaxed mode,1004D5v8Dbe6cw,Moderately Relevant
Relaxed mode,1004Eqp3k9U6KQ,Not Relevant
Relaxed mode,1007d28L3ZIjRe,Moderately Relevant
Relaxed mode,100ak1Sn7F3ius,Not Relevant
Relaxed mode,100d6UtqKnuNuU,Not Relevant
Relaxed mode,100hiniRFKa3OE,Not Relevant
Relaxed mode,100J4cu5UbCnVm,Not Relevant
A clever joke,1003Kuq13ICXDO,Moderately Relevant
A clever joke,100afL9qoUSWSQ,Not Relevant
A clever joke,100buaImlNtEuk,Not Relevant
A clever joke,103c3dyvMqv624,Not Relevant
A clever joke,103JnbaqvpBFGE,Not Relevant
A clever joke,103wxMOQYiCOjK,Not Relevant
A clever joke,107nbr93ZhiUJq	,Not Relevant
A clever joke,107w1QelN7fTcA,Moderately Relevant
A clever joke,108M7gCS1JSoO4,Not Relevant
A clever joke,108OKB1XHmqUI8,Not Relevant
A dramatic reveal,100PvT5qaOSre0,Not Relevant
A dramatic reveal,101auwpSHzVZkI,Moderately Relevant
A dramatic reveal,10237jxmIQQhaM,Not Relevant
A dramatic reveal,102cJamHjyLgA0,Not Relevant
A dramatic reveal,102nX8tlIYDkAM,Not Relevant
A dramatic reveal,103HJZ0KmjvW0w,Moderately Relevant
A dramatic reveal,1044XT2g7r37lm,Moderately Relevant
A dramatic reveal,104v6Qd66phU3u,Not Relevant
A dramatic reveal,1054NET6HHQX9S,Not Relevant
A dramatic reveal,106cqwD4WrDjJm,Not Relevant
Winning a game,1003Kuq13ICXDO,Not Relevant
Winning a game,100afL9qoUSWSQ,Moderately Relevant
Winning a game,100buaImlNtEuk,Not Relevant
Winning a game,103c3dyvMqv624,Not Relevant
Winning a game,103JnbaqvpBFGE,Not Relevant
Winning a game,103wxMOQYiCOjK,Not Relevant
Winning a game,107nbr93ZhiUJq	,Not Relevant
Winning a game,107w1QelN7fTcA,Not Relevant
Winning a game,108M7gCS1JSoO4,Not Relevant
Winning a game,108OKB1XHmqUI8,Not Relevant
Excited ,103JnbaqvpBFGE,Not Relevant
Excited,10pL8WrCh4ttXa,Highly Relevant
Excited,113kTjzzweEzaE,Highly Relevant
Excited,117hx0F5No4T0A,Not Relevant
Excited,11J3EBSwVYlaRa,Highly Relevant
Excited,11sG4llQDAipGw,Highly Relevant
Excited,12inVGJ0hTaYY8,Moderately Relevant
Excited,12PHrDCGTUoQIE,Moderately Relevant
Excited,12wKtJWXDVpRao,Highly Relevant
Excited,14Xx5B178hibS,Highly Relevant
A disappointed reaction,100PvT5qaOSre0,Not Relevant
A disappointed reaction,101auwpSHzVZkI,Not Relevant
A disappointed reaction,10237jxmIQQhaM,Moderately Relevant
A disappointing reaction,102cJamHjyLgA0,Moderately Relevant
A disappointing reaction,102nX8tlIYDkAM,Highly Relevant
A disappointing reaction,103HJZ0KmjvW0w,Moderately Relevant
A disappointing reaction,1044XT2g7r37lm,Not Relevant
A disappointing reaction,104v6Qd66phU3u,Not Relevant
A disappointing reaction,1054NET6HHQX9S,Moderately Relevant
A disappointing reaction,106cqwD4WrDjJm,Not Relevant
A sports celebration,1000eGIbYHercI,Not Relevant
A sports celebration,1000fHsBSKSL6w,Not Relevant
A sports celebration,        1000WjcUQeqOaY,Not Relevant
A sports celebration,	1004D5v8Dbe6cw,Not Relevant
A sports celebration,1004Eqp3k9U6KQ,Not Relevant
A sports celebration,1007d28L3ZIjRe,Not Relevant
A sports celebration,100ak1Sn7F3ius,Not Relevant
A sports celebration,100d6UtqKnuNuU,Moderately Relevant
A sports celebration,100hiniRFKa3OE,Not Relevant
A sports celebration,100J4cu5UbCnVm,Not Relevant
A jump scare,1000eGIbYHercI,Not Relevant
A jump scare,1000fHsBSKSL6w,Not Relevant
A jump scare,        1000WjcUQeqOaY,Not Relevant
A jump scare,	1004D5v8Dbe6cw,Not Relevant
A jump scare,1004Eqp3k9U6KQ,Not Relevant
A jump scare,1007d28L3ZIjRe,Not Relevant
A jump scare,100ak1Sn7F3ius,Not Relevant
A jump scare,100d6UtqKnuNuU,Not Relevant
A jump scare,100hiniRFKa3OE,Not Relevant
A jump scare,100J4cu5UbCnVm,Not Relevant
Cooking in the kitchen,1000eGIbYHercI,Not Relevant
Cooking in the kitchen,1000fHsBSKSL6w,Not Relevant
Cooking in the kitchen,        1000WjcUQeqOaY,Not Relevant
Cooking in the kitchen,	1004D5v8Dbe6cw,Not Relevant
Cooking in the kitchen,1004Eqp3k9U6KQ,Not Relevant
Cooking in the kitchen,1007d28L3ZIjRe,Not Relevant
Cooking in the kitchen,100ak1Sn7F3ius,Not Relevant
Cooking in the kitchen,100d6UtqKnuNuU,Not Relevant
Cooking in the kitchen,100hiniRFKa3OE,Not Relevant
Cooking in the kitchen,100J4cu5UbCnVm,Not Relevant
A sunset,1000eGIbYHercI,Not Relevant
A sunset,1000fHsBSKSL6w,Not Relevant
A sunset,        1000WjcUQeqOaY,Not Relevant
A sunset,	1004D5v8Dbe6cw,Not Relevant
A sunset,1004Eqp3k9U6KQ,Not Relevant
A sunset,1007d28L3ZIjRe,Not Relevant
A sunset,100ak1Sn7F3ius,Not Relevant
A sunset,100d6UtqKnuNuU,Not Relevant
A sunset,100hiniRFKa3OE,Not Relevant
A sunset,100J4cu5UbCnVm,Not Relevant
Sassy attitude pose,1000eGIbYHercI,Not Relevant
Sassy attitude pose,1000fHsBSKSL6w,Not Relevant
Sassy attitude pose,        1000WjcUQeqOaY,Not Relevant
Sassy attitude pose,	1004D5v8Dbe6cw,Highly Relevant
Sassy attitude pose,1004Eqp3k9U6KQ,Not Relevant
Sassy attitude pose,1007d28L3ZIjRe,Not Relevant
Sassy attitude pose,100ak1Sn7F3ius,Not Relevant
Sassy attitude pose,100d6UtqKnuNuU,Not Relevant
Sassy attitude pose,100hiniRFKa3OE,Not Relevant
Sassy attitude pose,100J4cu5UbCnVm,Not Relevant
Driving in a car,1000eGIbYHercI,Not Relevant
Driving in a car,1000fHsBSKSL6w,Not Relevant
Driving in a car,        1000WjcUQeqOaY,Not Relevant
Driving in a car,	1004D5v8Dbe6cw,Not Relevant
Driving in a car,1004Eqp3k9U6KQ,Not Relevant
Driving in a car,1007d28L3ZIjRe,Not Relevant
Driving in a car,100ak1Sn7F3ius,Not Relevant
Driving in a car,100d6UtqKnuNuU,Not Relevant
Driving in a car,100hiniRFKa3OE,Not Relevant
Driving in a car,100J4cu5UbCnVm,Not Relevant
Celebrating a birthday,13plECl6thX0GY,Not Relevant
Celebrating a birthday,3EAKxlmEhkEqRymYnK,Moderately Relevant
Celebrating a birthday,3o6MbbI3f4u13WJV04,Highly Relevant
Celebrating a birthday,3o7qEcEitOlwbkfYli,Highly Relevant
Celebrating a birthday,26BROnHFNkJoeWH04,Highly Relevant
Celebrating a birthday,11jxT1SIdvQ3Cg,Not Relevant
Celebrating a birthday,1000eGIbYHercI,Not Relevant
Celebrating a birthday,1000fHsBSKSL6w,Not Relevant
Celebrating a birthday,1000WjcUQeqOaY,Not Relevant
Celebrating a birthday,1004D5v8Dbe6cw,Not Relevant
A confused look,100PvT5qaOSre0,Moderately Relevant
A confused look,101auwpSHzVZkI,Not Relevant
A confused look,10237jxmIQQhaM,Moderately Relevant
A confused look,102cJamHjyLgA0,Not Relevant
A confused look,102nX8tlIYDkAM,Not Relevant
A confused look,103HJZ0KmjvW0w,Not Relevant
A confused look,1044XT2g7r37lm,Moderately Relevant
A confused look,104v6Qd66phU3u,Not Relevant
A confused look,1054NET6HHQX9S,Not Relevant
A confused look,106cqwD4WrDjJm,Moderately Relevant
A villainous laugh,1003Kuq13ICXDO,Not Relevant
A villainous laugh,100afL9qoUSWSQ,Not Relevant
A villainous laugh,100buaImlNtEuk,Not Relevant
A villainous laugh,103c3dyvMqv624,Not Relevant
A villainous laugh,103JnbaqvpBFGE,Not Relevant
A villainous laugh,103wxMOQYiCOjK,Not Relevant
A villainous laugh,107nbr93ZhiUJq	,Not Relevant
A villainous laugh,107w1QelN7fTcA,Not Relevant
A villainous laugh,108M7gCS1JSoO4,Not Relevant
A villainous laugh,108OKB1XHmqUI8,Not Relevant
A red carpet entrance,10AwsuSArQY1ZS,Not Relevant
A red carpet entrance,110NsfsvtlLxHq,Not Relevant
A red carpet entrance,12xdxbsEsgEwpO,Highly Relevant
A red carpet entrance,13qi4fjixBju3S,Not Relevant
A red carpet entrance,14sjSZoIZ3dc2I,Not Relevant
A red carpet entrance,1Vm3oI7Qxrlde,Not Relevant
A red carpet entrance,26AHDLGD0yjr3Qi3e,Not Relevant
A red carpet entrance,26AHNmbGONpTPUNVu,Not Relevant
A red carpet entrance,26tP3IIbfhIF0Z5mw,Not Relevant
A red carpet entrance,3o6ozodxVMrs36Z1yE,Not Relevant
An action scene,1003Kuq13ICXDO,Not Relevant
An action scene,100afL9qoUSWSQ,Not Relevant
An action scene,100buaImlNtEuk,Not Relevant
An action scene,103c3dyvMqv624,Moderately Relevant
An action scene,103JnbaqvpBFGE,Not Relevant
An action scene,103wxMOQYiCOjK,Not Relevant
An action scene,107nbr93ZhiUJq	,Not Relevant
An action scene,107w1QelN7fTcA,Not Relevant
An action scene,108M7gCS1JSoO4,Not Relevant
An action scene,108OKB1XHmqUI8,Not Relevant
A musical performance,1000eGIbYHercI,Not Relevant
A musical performance,1000fHsBSKSL6w,Not Relevant
A musical performance,	1000WjcUQeqOaY,Not Relevant
A musical performance,	1004D5v8Dbe6cw,Moderately Relevant
A musical performance,1004Eqp3k9U6KQ,Not Relevant
A musical performance,1007d28L3ZIjRe,Not Relevant
A musical performance,100ak1Sn7F3ius,Moderately Relevant
A musical performance,100d6UtqKnuNuU,Not Relevant
A musical performance,100hiniRFKa3OE,Not Relevant
A musical performance,100J4cu5UbCnVm,Not Relevant
A relieved sigh,1000eGIbYHercI,Not Relevant
A relieved sigh,1000fHsBSKSL6w,Not Relevant
A relieved sigh,	1000WjcUQeqOaY,Not Relevant
A relieved sigh,	1004D5v8Dbe6cw,Not Relevant
A relieved sigh,1004Eqp3k9U6KQ,Not Relevant
A relieved sigh,1007d28L3ZIjRe,Not Relevant
A relieved sigh,100ak1Sn7F3ius,Not Relevant
A relieved sigh,100d6UtqKnuNuU,Not Relevant
A relieved sigh,100hiniRFKa3OE,Not Relevant
A relieved sigh,100J4cu5UbCnVm,Moderately Relevant
Awkward smile,100PvT5qaOSre0,Not Relevant
Awkward smile,101auwpSHzVZkI,Not Relevant
Awkward smile,10237jxmIQQhaM,Not Relevant
Awkward smile,102cJamHjyLgA0,Not Relevant
Awkward smile,102nX8tlIYDkAM,Not Relevant
Awkward smile,103HJZ0KmjvW0w,Not Relevant
Awkward smile,1044XT2g7r37lm,Not Relevant
Awkward smile,104v6Qd66phU3u,Not Relevant
Awkward smile,1054NET6HHQX9S,Not Relevant
Awkward smile,106cqwD4WrDjJm,Highly Relevant
Gamer rage,1000eGIbYHercI,Not Relevant
Gamer rage,1000fHsBSKSL6w,Not Relevant
Gamer rage,	1000WjcUQeqOaY,Not Relevant
Gamer rage,	1004D5v8Dbe6cw,Not Relevant
Gamer rage,1004Eqp3k9U6KQ,Not Relevant
Gamer rage,1007d28L3ZIjRe,Not Relevant
Gamer rage,100ak1Sn7F3ius,Not Relevant
Gamer rage,100d6UtqKnuNuU,Not Relevant
Gamer rage,100hiniRFKa3OE,Not Relevant
Gamer rage,100J4cu5UbCnVm,Not Relevant
A funny animal moment,1003Kuq13ICXDO,Not Relevant
A funny animal moment,100afL9qoUSWSQ,Not Relevant
A funny animal moment,100buaImlNtEuk,Not Relevant
A funny animal moment,103c3dyvMqv624,Moderately Relevant
A funny animal moment,103JnbaqvpBFGE,Moderately Relevant
A funny animal moment,103wxMOQYiCOjK,Not Relevant
A funny animal moment,107nbr93ZhiUJq	,Highly Relevant
A funny animal moment,107w1QelN7fTcA,Not Relevant
A funny animal moment,108M7gCS1JSoO4,Moderately Relevant
A funny animal moment,108OKB1XHmqUI8,Not Relevant
A happy scream,1003Kuq13ICXDO,Not Relevant
A happy scream,100afL9qoUSWSQ,Not Relevant
A happy scream,100buaImlNtEuk,Not Relevant
A happy scream,103c3dyvMqv624,Not Relevant
A happy scream,103JnbaqvpBFGE,Moderately Relevant
A happy scream,103wxMOQYiCOjK,Not Relevant
A happy scream,107nbr93ZhiUJq	,Not Relevant
A happy scream,107w1QelN7fTcA,Not Relevant
A happy scream,108M7gCS1JSoO4,Not Relevant
A happy scream,108OKB1XHmqUI8,Not Relevant
A happy moment with a cat,2QHLYZFJgjsFq,Moderately Relevant
A happy moment with a cat,33OrjzUFwkwEg,Moderately Relevant
A happy moment with a cat,3C7wcZZWGf2Cs,Moderately Relevant
A happy moment with a cat,124if4JhjDwGHu,Moderately Relevant
A happy moment with a cat,1DTBGm5Rfgymk,Moderately Relevant
A happy moment with a cat,26tPgbUUcfS5IWiTm,Not Relevant
A happy moment with a cat,1003Kuq13ICXDO,Not Relevant
A happy moment with a cat,100afL9qoUSWSQ,Not Relevant
