Query,GIF ID,Relevance
A serious argument,3o7abnYtvY5XUWbQM8,Highly Relevant
A serious argument,14fZchLCoTO2FG,Moderately Relevant
A serious argument,11tYKmeBq7blHG,Not Relevant
A sarcastic remark,11pQizRLu1JP0c,Highly Relevant
A sarcastic remark,3o7qEbNFpbZjpOju7K,Moderately Relevant
A sarcastic remark,10hfegXGKVRVNm,Not Relevant
Relaxed mode,26BRshupStSbvNQFW,Highly Relevant
Relaxed mode,13HcMMr7kFTcOs,Moderately Relevant
Relaxed mode,26AHHrAzpk2Gz0MAo,Not Relevant
A clever joke,143DwZ9lvbQcbS,Highly Relevant
A clever joke,12rVNhpoAoQZOg,Moderately Relevant
A clever joke,12DBMudhshVd9m,Not Relevant
A dramatic reveal,3o85xL8B5OwJsoeAzC,Highly Relevant
A dramatic reveal,13K0BStGpICCB2,Moderately Relevant
A dramatic reveal,26tngmLohoVugTc08,Not Relevant
Winning a game,22k3cGsKoAzMQ,Highly Relevant
Winning a game,3o6gb4tRy8gSGmGJ8c,Moderately Relevant
Winning a game,1bAqIa6DmVQRy,Not Relevant
Excited high five,2AlVpRyjAAN2,Highly Relevant
Excited high five,13zazU4zSlJCiA,Moderately Relevant
Excited high five,26tOYERSgxVzIvjHy,Not Relevant
A disappointing reaction,26BRrrF5OOUQpOhOw,Highly Relevant
A disappointing reaction,10IsQsevqktJLi,Moderately Relevant
A disappointing reaction,10HPl8c6VZKc4o,Not Relevant
A sports celebration,10Do3MVo7wJASA,Highly Relevant
A sports celebration,10ERZqYioLWJ6U,Moderately Relevant
A sports celebration,11H9nN7VS1bhkI,Not Relevant
A jump scare,11gfusr1OufDeo,Highly Relevant
A jump scare,11tqljvNZyY3PW,Moderately Relevant
A jump scare,2aW3PMZryeKju,Not Relevant
Cooking in the kitchen,3o6ZsXzPwGpNiw5h1C,Highly Relevant
Cooking in the kitchen,13AJJwFqUsdoWY,Moderately Relevant
Cooking in the kitchen,3o6EhPBftvsAlMjNeg,Not Relevant
A sunset,3o85xGmIbdnDpUm9Vu,Highly Relevant
A sunset,3o6gEaogdVsZdWIDTO,Moderately Relevant
A sunset,11myV77GyYC8eI,Not Relevant
Sassy attitude pose,10cQIr6ssbpeus,Highly Relevant
Sassy attitude pose,12x8zrAXLyc6yc,Moderately Relevant
Sassy attitude pose,26tOZHppC5RFh4WqY,Not Relevant
Driving in a car,11r5eTy9mZVZ6g,Highly Relevant
Driving in a car,10HacXwBbnkUec,Moderately Relevant
Driving in a car,2XXGmo4Q1yPjq,Not Relevant
Celebrating a birthday,176ZL1UXmSbFm,Highly Relevant
Celebrating a birthday,129g9HK07tEtZm,Moderately Relevant
Celebrating a birthday,13plECl6thX0GY,Not Relevant
A confused look,123BaaX3Tl0Kn6,Highly Relevant
A confused look,12FpCvk7N07rSo,Moderately Relevant
A confused look,3eDzVgwuBUV1e,Not Relevant
A villainous laugh,3o85xGMTQw0Ou69ML6,Highly Relevant
A villainous laugh,1PgPvWLfXGkCY,Moderately Relevant
A villainous laugh,3o6ozvv0zsJskzOCbu,Not Relevant
A red carpet entrance,12xdxbsEsgEwpO,Highly Relevant
A red carpet entrance,3o85xDEl6Fugkja2LS,Moderately Relevant
A red carpet entrance,1MDV8tmNTEgb6,Not Relevant
An action scene,26BkObbJUlM6mhwkg,Highly Relevant
An action scene,10Fbktc5nzLt6,Moderately Relevant
An action scene,12TZCBBU3tFPY4,Not Relevant
A musical performance,14tZEFDDCkMquk,Highly Relevant
A musical performance,3o85xIBdqu6dMoyI2A,Moderately Relevant
A musical performance,2IO5OdKp0fTMs,Not Relevant
A relieved sigh,1guRIRFV5gN4ikrUakg,Highly Relevant
A relieved sigh,2pzW5eFuGoIAU,Moderately Relevant
A relieved sigh,38qj76We5E5cQ,Not Relevant
Awkward smile,12E2Xmt6y73ClW,Highly Relevant
Awkward smile,12ajA4ZHr4cuAg,Moderately Relevant
Awkward smile,1BnOWVuEeDYGY,Not Relevant
Gamer rage,12TRwqHpz2cfzG,Highly Relevant
Gamer rage,12TRwqHpz2cfzG,Moderately Relevant
Gamer rage,11XDw3oq59Hhvy,Not Relevant
A funny animal moment,11PaOzUmuNfWQE,Highly Relevant
A funny animal moment,10swQPVv0kvqp2,Moderately Relevant
A funny animal moment,3o7Zeof8ZuJs45nmkU,Not Relevant
A happy scream,26BRut39OtycBhk9W,Highly Relevant
A happy scream,3o6gE6muVWPM2OyOsw,Moderately Relevant
A happy scream,26tP0ajQqkYICLDsQ,Not Relevant
